
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010335                       # Number of seconds simulated (Second)
simTicks                                  10334962000                       # Number of ticks simulated (Tick)
finalTick                                 10334962000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    120.26                       # Real time elapsed on the host (Second)
hostTickRate                                 85935569                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8538224                       # Number of bytes of host memory used (Byte)
simInsts                                     12662584                       # Number of instructions simulated (Count)
simOps                                       29796185                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   105290                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     247756                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         10334963                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        29989633                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       19                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       29936620                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1286                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               193461                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            328180                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            10283813                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.911043                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.779409                       # Number of insts issued each cycle (Count)
system.cpu.statIssuedInstType_0::FloatMultAcc            0      0.00%     61.33% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatDiv            0      0.00%     61.33% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMisc            0      0.00%     61.33% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatSqrt            0      0.00%     61.33% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAdd          395      0.00%     61.34% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAddAcc            0      0.00%     61.34% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAlu         1092      0.00%     61.34% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCmp            0      0.00%     61.34% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdCvt          969      0.00%     61.34% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMisc          938      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMult            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdMultAcc            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShift          273      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShiftAcc            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdDiv            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSqrt            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAdd            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatAlu            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCmp            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatCvt            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatDiv            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMisc            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMult            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAdd            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceAlu            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdReduceCmp            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAes            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdAesMix            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma2            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdShaSigma3            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdPredAlu            0      0.00%     61.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemRead      6555259     21.90%     83.24% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::MemWrite      5013573     16.75%     99.99% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemRead         1448      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::FloatMemWrite         1374      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total       29936620                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         2.896635                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                                9650                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.000322                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                 70153097                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                30171095                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses        29915566                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                     14892                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                    12144                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses             6980                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                    29936400                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                         7461                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numInsts                          29927292                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                       6553745                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                      9328                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                           11568377                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                        3047653                       # Number of branches executed (Count)
system.cpu.numStoreInsts                      5014632                       # Number of stores executed (Count)
system.cpu.numRate                           2.895733                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                             810                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           51150                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                    12662584                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                      29796185                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               0.816181                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          0.816181                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               1.225218                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          1.225218                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                   31026359                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                  19818438                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                        9839                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                       5238                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                    11235357                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                    8163759                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                  17673798                       # number of misc regfile reads (Count)
system.cpu.miscRegfileWrites                       18                       # number of misc regfile writes (Count)
system.cpu.MemDepUnit__0.insertedLoads        6559954                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores       5016754                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads      2250918                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores          342                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                 3072069                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted           2059486                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect              4729                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups              1527906                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                 1526077                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.998803                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                    1190                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  1                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups             953                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                136                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              817                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          256                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts          192215                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls              18                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts              4349                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples     10255839                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     2.905290                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.280226                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0         1055500     10.29%     10.29% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1         2273369     22.17%     32.46% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2         2194787     21.40%     53.86% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3         1950966     19.02%     72.88% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4            4087      0.04%     72.92% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5         1003233      9.78%     82.70% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6          877213      8.55%     91.26% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7          188919      1.84%     93.10% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8          707765      6.90%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total     10255839                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted             12662584                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted               29796185                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                    11548945                       # Number of memory references committed (Count)
system.cpu.commit.loads                       6537417                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                           0                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                    3036455                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                       5240                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                    29791774                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                   706                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass          963      0.00%      0.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu     18242009     61.22%     61.23% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult           21      0.00%     61.23% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv         1275      0.00%     61.23% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd          361      0.00%     61.23% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     61.23% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt           32      0.00%     61.23% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     61.23% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     61.23% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     61.23% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc            0      0.00%     61.23% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     61.23% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd          308      0.00%     61.23% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     61.23% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu          653      0.00%     61.23% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp            0      0.00%     61.23% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt          688      0.00%     61.24% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc          813      0.00%     61.24% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     61.24% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     61.24% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShift          117      0.00%     61.24% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     61.24% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     61.24% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     61.24% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAdd            0      0.00%     61.24% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAlu            0      0.00%     61.24% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCmp            0      0.00%     61.24% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCvt            0      0.00%     61.24% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatDiv            0      0.00%     61.24% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMisc            0      0.00%     61.24% # Class of committed instruction (Count)
